Date,Open,High,Low,Close
2024-02-09,188.6499938964844,189.9900054931641,188.0,188.8500061035156
2024-02-12,188.4199981689453,188.6699981689453,186.7899932861328,187.1499938964844
2024-02-13,185.7700042724609,186.2100067138672,183.50999450683597,185.0399932861328
2024-02-14,185.32000732421875,185.52999877929688,182.44000244140625,184.1499938964844
2024-02-15,183.5500030517578,184.4900054931641,181.3500061035156,183.8600006103516
2024-02-16,183.4199981689453,184.8500061035156,181.6699981689453,182.30999755859372
2024-02-20,181.7899932861328,182.42999267578125,180.0,181.55999755859372
2024-02-21,181.94000244140625,182.88999938964844,180.66000366210935,182.32000732421875
2024-02-22,183.47999572753903,184.9600067138672,182.4600067138672,184.3699951171875
2024-02-23,185.00999450683597,185.0399932861328,182.22999572753903,182.5200042724609
2024-02-26,182.2400054931641,182.75999450683597,180.6499938964844,181.16000366210935
2024-02-27,181.1000061035156,183.9199981689453,179.55999755859375,182.6300048828125
2024-02-28,182.50999450683597,183.1199951171875,180.1300048828125,181.4199981689453
2024-02-29,181.2700042724609,182.57000732421875,179.52999877929688,180.75
2024-03-01,179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938
2024-03-04,176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562
2024-03-05,170.75999450683594,172.0399932861328,169.6199951171875,170.1199951171875
2024-03-06,171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875
2024-03-07,169.14999389648438,170.72999572753906,168.49000549316406,169.0
2024-03-08,169.0,173.6999969482422,168.94000244140625,170.72999572753906
2024-03-11,172.94000244140625,174.3800048828125,172.0500030517578,172.75
2024-03-12,173.14999389648438,174.02999877929688,171.00999450683594,173.22999572753906
2024-03-13,172.77000427246094,173.19000244140625,170.75999450683594,171.1300048828125
2024-03-14,172.91000366210938,174.30999755859375,172.0500030517578,173.0
2024-03-15,171.1699981689453,172.6199951171875,170.2899932861328,172.6199951171875
2024-03-18,175.57000732421875,177.7100067138672,173.52000427246094,173.72000122070312
2024-03-19,174.33999633789062,176.61000061035156,173.02999877929688,176.0800018310547
2024-03-20,175.72000122070312,178.6699981689453,175.08999633789062,178.6699981689453
2024-03-21,177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875
2024-03-22,171.75999450683594,173.0500030517578,170.05999755859375,172.27999877929688
2024-03-25,170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562
2024-03-26,170.0,171.4199981689453,169.5800018310547,169.7100067138672
2024-03-27,170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375
2024-03-28,171.75,172.22999572753906,170.50999450683594,171.47999572753906
2024-04-01,171.19000244140625,171.25,169.47999572753906,170.02999877929688
2024-04-02,169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062
2024-04-03,168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438
2024-04-04,170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875
2024-04-05,169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547
2024-04-08,169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422
2024-04-09,168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453
2024-04-10,168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688
2024-04-11,168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328
2024-04-12,174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578
2024-04-15,175.36000061035156,176.6300048828125,172.5,172.69000244140625
2024-04-16,171.75,173.75999450683594,168.27000427246094,169.3800048828125
2024-04-17,169.61000061035156,170.64999389648438,168.0,168.0
2024-04-18,168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328
2024-04-19,166.2100067138672,166.39999389648438,164.0800018310547,165.0
2024-04-22,165.52000427246094,167.25999450683594,164.77000427246094,165.83999633789062
2024-04-23,165.35000610351562,167.0500030517578,164.9199981689453,166.89999389648438
2024-04-24,166.5399932861328,169.3000030517578,166.2100067138672,169.02000427246094
2024-04-25,169.52999877929688,170.61000061035156,168.14999389648438,169.88999938964844
2024-04-26,169.8800048828125,171.33999633789062,169.17999267578125,169.3000030517578
2024-04-29,173.3699951171875,176.02999877929688,173.10000610351562,173.5
2024-04-30,173.3300018310547,174.99000549316406,170.0,170.3300018310547
2024-05-01,169.5800018310547,172.7100067138672,169.11000061035156,169.3000030517578
2024-05-02,172.50999450683594,173.4199981689453,170.88999938964844,173.02999877929688
2024-05-03,186.6499938964844,187.0,182.66000366210935,183.3800048828125
2024-05-06,182.3500061035156,184.1999969482422,180.4199981689453,181.7100067138672
2024-05-07,183.4499969482422,184.8999938964844,181.32000732421875,182.3999938964844
2024-05-08,182.8500061035156,183.07000732421875,181.4499969482422,182.7400054931641
2024-05-09,182.55999755859372,184.66000366210935,182.1100006103516,184.57000732421875
2024-05-10,184.8999938964844,185.08999633789065,182.1300048828125,183.0500030517578
